time,count_rate,counts,count_error,ultrasoft_count_rate,soft_count_rate,medium_count_rate,hard_count_rate,ultrasoft_counts,soft_counts,medium_counts,hard_counts,exposure,area
466218331.28165996,0.0113055928337,3,0.00652728706588,0.00376853094457,0.00753706188913,0.0,0.0,1,2,0,0,265.3553903921,17.1875
466218830.70702004,0.01623047271174,8,0.00573833865817,0.0,0.0121728545338,0.00405761817793,0.0,0,6,2,0,492.9000000237,17.1875
466219330.13238,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.0,0.00202880908897,0,5,0,1,492.9000000237,17.1875
466219829.55774,0.02231689997864,11,0.00672879851937,0.00202880908897,0.0121728545338,0.00811523635587,0.0,1,6,4,0,492.9000000237,17.1875
466220328.98310006,0.01825928180071,9,0.0060864272669,0.0,0.01825928180071,0.0,0.0,0,9,0,0,492.9000000237,17.1875
466220828.40846,0.01014404544484,5,0.0045365550363,0.0,0.0060864272669,0.00405761817793,0.0,0,3,2,0,492.9000000237,17.1875
466221327.83382,0.0060864272669,3,0.00351400042095,0.0,0.00405761817793,0.00202880908897,0.0,0,2,1,0,492.9000000237,17.1875
466221827.25917995,0.00811523635587,4,0.00405761817793,0.0,0.0,0.00811523635587,0.0,0,0,4,0,492.9000000237,17.1875
466222326.68454003,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,17.1875
466222826.1099,0.01420166362277,7,0.00536772430704,0.0,0.01014404544484,0.00202880908897,0.00202880908897,0,5,1,1,492.9000000237,17.1875
466223325.53525996,0.01623047271174,8,0.00573833865817,0.00405761817793,0.0060864272669,0.0060864272669,0.0,2,3,3,0,492.9000000237,17.1875
466223824.96062005,0.00405761817793,2,0.00286916932908,0.0,0.00405761817793,0.0,0.0,0,2,0,0,492.9000000237,17.1875
466224324.38598,0.01420166362277,7,0.00536772430704,0.0,0.01420166362277,0.0,0.0,0,7,0,0,492.9000000237,17.1875
466224823.81134,0.01420166362277,7,0.00536772430704,0.0,0.01014404544484,0.00202880908897,0.00202880908897,0,5,1,1,492.9000000237,17.1875
466225323.23670006,0.0121728545338,6,0.00496954705349,0.0,0.0060864272669,0.00405761817793,0.00202880908897,0,3,2,1,492.9000000237,17.1875
466225822.66206,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,17.1875
466226322.08742,0.01623047271174,8,0.00573833865817,0.0,0.01420166362277,0.00202880908897,0.0,0,7,1,0,492.9000000237,17.1875
466226821.51277995,0.0121728545338,6,0.00496954705349,0.00405761817793,0.00405761817793,0.00405761817793,0.0,2,2,2,0,492.9000000237,17.1875
466227320.93814003,0.01825928180071,9,0.0060864272669,0.00202880908897,0.01420166362277,0.00202880908897,0.0,1,7,1,0,492.9000000237,17.1875
466227820.3635,0.01420166362277,7,0.00536772430704,0.00202880908897,0.00811523635587,0.00405761817793,0.0,1,4,2,0,492.9000000237,17.1875
466228319.78885996,0.02028809088967,10,0.00641565765879,0.0,0.01825928180071,0.00202880908897,0.0,0,9,1,0,492.9000000237,17.1875
466228819.21422005,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,17.1875
466229318.63958,0.01014404544484,5,0.0045365550363,0.0,0.01014404544484,0.0,0.0,0,5,0,0,492.9000000237,17.1875
466229818.06494,0.0121728545338,6,0.00496954705349,0.0,0.0121728545338,0.0,0.0,0,6,0,0,492.9000000237,17.1875
466230317.49030006,0.00202880908897,1,0.00202880908897,0.0,0.0,0.0,0.00202880908897,0,0,0,1,492.9000000237,17.1875
466230816.91566,0.0060864272669,3,0.00351400042095,0.0,0.00405761817793,0.00202880908897,0.0,0,2,1,0,492.9000000237,17.1875
466231316.34102,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,17.1875
466231815.76637995,0.0060864272669,3,0.00351400042095,0.00202880908897,0.00405761817793,0.0,0.0,1,2,0,0,492.9000000237,17.1875
466232315.19174004,0.01014404544484,5,0.0045365550363,0.0,0.0060864272669,0.00202880908897,0.00202880908897,0,3,1,1,492.9000000237,17.1875
466232814.6171,0.00405761817793,2,0.00286916932908,0.0,0.00405761817793,0.0,0.0,0,2,0,0,492.9000000237,17.1875
466233314.04245996,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,17.1875
466233813.46782005,0.0121728545338,6,0.00496954705349,0.0,0.00811523635587,0.00405761817793,0.0,0,4,2,0,492.9000000237,17.1875
466234312.89318,0.01420166362277,7,0.00536772430704,0.0,0.0121728545338,0.00202880908897,0.0,0,6,1,0,492.9000000237,17.1875
466234812.31854,0.00811523635587,4,0.00405761817793,0.0,0.00811523635587,0.0,0.0,0,4,0,0,492.9000000237,17.1875
466235311.74390006,0.01014404544484,5,0.0045365550363,0.00202880908897,0.00405761817793,0.00405761817793,0.0,1,2,2,0,492.9000000237,17.1875
466235811.16926,0.01420166362277,7,0.00536772430704,0.0,0.01420166362277,0.0,0.0,0,7,0,0,492.9000000237,17.1875
466236310.59462,0.01825928180071,9,0.0060864272669,0.0,0.01825928180071,0.0,0.0,0,9,0,0,492.9000000237,17.1875
466236810.01997995,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,17.1875
466237309.44534004,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.0,0.00202880908897,0,4,0,1,492.9000000237,17.1875
466237808.8707,0.02028809088967,10,0.00641565765879,0.0,0.0121728545338,0.0060864272669,0.00202880908897,0,6,3,1,492.9000000237,17.1875
466238308.29605997,0.02231689997864,11,0.00672879851937,0.00202880908897,0.01825928180071,0.00202880908897,0.0,1,9,1,0,492.9000000237,17.1875
466238807.72142005,0.00202880908897,1,0.00202880908897,0.0,0.00202880908897,0.0,0.0,0,1,0,0,492.9000000237,17.1875
466239307.14678,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.00202880908897,0.0,0,5,1,0,492.9000000237,17.1875
466239806.57214,0.01623047271174,8,0.00573833865817,0.0,0.01420166362277,0.00202880908897,0.0,0,7,1,0,492.9000000237,17.1875
466240305.99749994,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.00202880908897,0.0,0,5,1,0,492.9000000237,17.1875
466240805.42286,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,17.1875
466241304.84822,0.0060864272669,3,0.00351400042095,0.0,0.0060864272669,0.0,0.0,0,3,0,0,492.9000000237,17.1875
466241804.27357996,0.01623047271174,8,0.00573833865817,0.0,0.01420166362277,0.00202880908897,0.0,0,7,1,0,492.9000000237,17.1875
466242303.69894004,0.00811523635587,4,0.00405761817793,0.0,0.00811523635587,0.0,0.0,0,4,0,0,492.9000000237,17.1875
466242803.1243,0.0060864272669,3,0.00351400042095,0.0,0.0,0.0060864272669,0.0,0,0,3,0,492.9000000237,17.1875
466243302.54965997,0.01623047271174,8,0.00573833865817,0.0,0.01420166362277,0.00202880908897,0.0,0,7,1,0,492.9000000237,17.1875
466243801.97502005,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,17.1875
466244301.40038,0.02434570906761,12,0.0070280008419,0.0,0.02028809088967,0.00405761817793,0.0,0,10,2,0,492.9000000237,17.1875
466244800.82574,0.02434570906761,12,0.0070280008419,0.0,0.02434570906761,0.0,0.0,0,12,0,0,492.9000000237,17.1875
466245300.25109994,0.00405761817793,2,0.00286916932908,0.0,0.00405761817793,0.0,0.0,0,2,0,0,492.9000000237,17.1875
466245799.67646,0.02028809088967,10,0.00641565765879,0.0,0.01420166362277,0.0060864272669,0.0,0,7,3,0,492.9000000237,17.1875
466246299.10182,0.01014404544484,5,0.0045365550363,0.0,0.01014404544484,0.0,0.0,0,5,0,0,492.9000000237,17.1875
466246798.52717996,0.00811523635587,4,0.00405761817793,0.0,0.00811523635587,0.0,0.0,0,4,0,0,492.9000000237,17.1875
466247297.95254004,0.0060864272669,3,0.00351400042095,0.0,0.0060864272669,0.0,0.0,0,3,0,0,492.9000000237,17.1875
466247797.3779,0.0060864272669,3,0.00351400042095,0.0,0.00405761817793,0.00202880908897,0.0,0,2,1,0,492.9000000237,17.1875
466248296.80325997,0.02028809088967,10,0.00641565765879,0.0,0.01623047271174,0.00202880908897,0.00202880908897,0,8,1,1,492.9000000237,17.1875
466248796.22862005,0.00405761817793,2,0.00286916932908,0.0,0.00202880908897,0.00202880908897,0.0,0,1,1,0,492.9000000237,17.1875
466249295.65398,0.0121728545338,6,0.00496954705349,0.0,0.00811523635587,0.00202880908897,0.00202880908897,0,4,1,1,492.9000000237,17.1875
466249795.07934,0.01014404544484,5,0.0045365550363,0.0,0.0060864272669,0.00405761817793,0.0,0,3,2,0,492.9000000237,17.1875
466250294.50469995,0.01420166362277,7,0.00536772430704,0.0,0.01014404544484,0.00405761817793,0.0,0,5,2,0,492.9000000237,17.1875
466250793.93006,0.0060864272669,3,0.00351400042095,0.0,0.00405761817793,0.00202880908897,0.0,0,2,1,0,492.9000000237,17.1875
466251293.35542,0.0060864272669,3,0.00351400042095,0.0,0.00202880908897,0.00405761817793,0.0,0,1,2,0,492.9000000237,17.1875
466251792.78077996,0.0121728545338,6,0.00496954705349,0.00202880908897,0.01014404544484,0.0,0.0,1,5,0,0,492.9000000237,17.1875
466252292.20614004,0.02231689997864,11,0.00672879851937,0.0,0.01623047271174,0.0060864272669,0.0,0,8,3,0,492.9000000237,17.1875
466252791.6315,0.0121728545338,6,0.00496954705349,0.00202880908897,0.0060864272669,0.00405761817793,0.0,1,3,2,0,492.9000000237,17.1875
466253291.05685997,0.00811523635587,4,0.00405761817793,0.00202880908897,0.00202880908897,0.00405761817793,0.0,1,1,2,0,492.9000000237,17.1875
466253790.48222005,0.01825928180071,9,0.0060864272669,0.0,0.01623047271174,0.00202880908897,0.0,0,8,1,0,492.9000000237,17.1875
466254289.90758,0.00405761817793,2,0.00286916932908,0.0,0.00405761817793,0.0,0.0,0,2,0,0,492.9000000237,17.1875
466254789.33294,0.0060864272669,3,0.00351400042095,0.0,0.0060864272669,0.0,0.0,0,3,0,0,492.9000000237,17.1875
466255288.75829995,0.0060864272669,3,0.00351400042095,0.0,0.0060864272669,0.0,0.0,0,3,0,0,492.9000000237,17.1875
466255788.18366003,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,492.9000000237,17.1875
466256287.60902,0.01468154554895,5,0.00656578677244,0.0,0.00880892732937,0.00587261821958,0.0,0,3,2,0,340.5635996109,17.1875
