time,count_rate,counts,count_error,ultrasoft_count_rate,soft_count_rate,medium_count_rate,hard_count_rate,ultrasoft_counts,soft_counts,medium_counts,hard_counts,exposure,area
464514717.3781301,0.01888029355374,5,0.00844352396426,0.0,0.01510423484299,0.00377605871075,0.0,0,4,1,0,264.8263908487,15.875
464515216.80349004,0.0060864272669,3,0.00351400042095,0.0,0.00202880908897,0.00405761817793,0.0,0,1,2,0,492.9000000237,15.875
464515716.22885,0.01825928180071,9,0.0060864272669,0.0,0.01623047271174,0.00202880908897,0.0,0,8,1,0,492.9000000237,15.875
464516215.6542101,0.0121728545338,6,0.00496954705349,0.0,0.0121728545338,0.0,0.0,0,6,0,0,492.9000000237,15.875
464516715.07957006,0.01420166362277,7,0.00536772430704,0.00202880908897,0.0121728545338,0.0,0.0,1,6,0,0,492.9000000237,15.875
464517214.50493,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,15.875
464517713.93029,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.00202880908897,0.0,0,5,1,0,492.9000000237,15.875
464518213.35565007,0.0060864272669,3,0.00351400042095,0.0,0.00405761817793,0.00202880908897,0.0,0,2,1,0,492.9000000237,15.875
464518712.78101003,0.02028809088967,10,0.00641565765879,0.0,0.01825928180071,0.00202880908897,0.0,0,9,1,0,492.9000000237,15.875
464519212.20637,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,15.875
464519711.6317301,0.01623047271174,8,0.00573833865817,0.0,0.0121728545338,0.00405761817793,0.0,0,6,2,0,492.9000000237,15.875
464520211.05709004,0.00811523635587,4,0.00405761817793,0.0,0.00405761817793,0.00405761817793,0.0,0,2,2,0,492.9000000237,15.875
464520710.48245,0.01825928180071,9,0.0060864272669,0.0,0.01420166362277,0.00405761817793,0.0,0,7,2,0,492.9000000237,15.875
464521209.9078101,0.0060864272669,3,0.00351400042095,0.0,0.00202880908897,0.00202880908897,0.00202880908897,0,1,1,1,492.9000000237,15.875
464521709.33317006,0.01014404544484,5,0.0045365550363,0.0,0.01014404544484,0.0,0.0,0,5,0,0,492.9000000237,15.875
464522208.75853,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.00202880908897,0.0,0,3,1,0,492.9000000237,15.875
464522708.18389,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,15.875
464523207.60925007,0.01420166362277,7,0.00536772430704,0.0,0.0121728545338,0.00202880908897,0.0,0,6,1,0,492.9000000237,15.875
464523707.03461003,0.01420166362277,7,0.00536772430704,0.0,0.0121728545338,0.00202880908897,0.0,0,6,1,0,492.9000000237,15.875
464524206.45997,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.0,0.00202880908897,0,5,0,1,492.9000000237,15.875
464524705.8853301,0.0121728545338,6,0.00496954705349,0.0,0.0121728545338,0.0,0.0,0,6,0,0,492.9000000237,15.875
464525205.31069005,0.0121728545338,6,0.00496954705349,0.0,0.0121728545338,0.0,0.0,0,6,0,0,492.9000000237,15.875
464525704.73605,0.01014404544484,5,0.0045365550363,0.00202880908897,0.00811523635587,0.0,0.0,1,4,0,0,492.9000000237,15.875
464526204.1614101,0.0060864272669,3,0.00351400042095,0.0,0.00405761817793,0.0,0.00202880908897,0,2,0,1,492.9000000237,15.875
464526703.58677006,0.00811523635587,4,0.00405761817793,0.00202880908897,0.00202880908897,0.00202880908897,0.00202880908897,1,1,1,1,492.9000000237,15.875
464527203.01213,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.00202880908897,0.0,0,5,1,0,492.9000000237,15.875
464527702.43749,0.02028809088967,10,0.00641565765879,0.0,0.01825928180071,0.00202880908897,0.0,0,9,1,0,492.9000000237,15.875
464528201.86285007,0.01825928180071,9,0.0060864272669,0.0,0.0121728545338,0.0060864272669,0.0,0,6,3,0,492.9000000237,15.875
464528701.28821003,0.01420166362277,7,0.00536772430704,0.0,0.00811523635587,0.00405761817793,0.00202880908897,0,4,2,1,492.9000000237,15.875
464529200.71357,0.0060864272669,3,0.00351400042095,0.0,0.00202880908897,0.00405761817793,0.0,0,1,2,0,492.9000000237,15.875
464529700.1389301,0.00811523635587,4,0.00405761817793,0.0,0.00811523635587,0.0,0.0,0,4,0,0,492.9000000237,15.875
464530199.56429005,0.0060864272669,3,0.00351400042095,0.0,0.0060864272669,0.0,0.0,0,3,0,0,492.9000000237,15.875
464530698.98965,0.00811523635587,4,0.00405761817793,0.0,0.0060864272669,0.0,0.00202880908897,0,3,0,1,492.9000000237,15.875
464531198.4150101,0.01825928180071,9,0.0060864272669,0.0,0.01420166362277,0.00405761817793,0.0,0,7,2,0,492.9000000237,15.875
464531697.84037006,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,15.875
464532197.26573,0.0121728545338,6,0.00496954705349,0.0,0.01014404544484,0.00202880908897,0.0,0,5,1,0,492.9000000237,15.875
464532696.69109,0.01014404544484,5,0.0045365550363,0.0,0.00811523635587,0.00202880908897,0.0,0,4,1,0,492.9000000237,15.875
464533196.1164501,0.01420166362277,7,0.00536772430704,0.0,0.01014404544484,0.00405761817793,0.0,0,5,2,0,492.9000000237,15.875
464533695.54181004,0.02434570906761,12,0.0070280008419,0.0,0.02028809088967,0.00405761817793,0.0,0,10,2,0,492.9000000237,15.875
