time,count_rate,counts,count_error,ultrasoft_count_rate,soft_count_rate,medium_count_rate,hard_count_rate,ultrasoft_counts,soft_counts,medium_counts,hard_counts,exposure,area
176654653.90339,0.05582471415226,2,0.03947403393486,0.0,0.02791235707613,0.0,0.02791235707613,0,1,0,1,35.8264261693,30.375
176655153.32875,0.03651856360359,18,0.00860750798776,0.00202880908909,0.01014404544544,0.01420166362362,0.01014404544544,1,5,7,5,492.8999999942,30.375
176655652.75411004,0.04463379995994,22,0.00951595812513,0.0,0.02028809089088,0.0182592818018,0.00608642726727,0,10,9,3,492.8999999942,30.375
176656152.17947,0.02434570906906,12,0.00702800084232,0.0,0.00608642726727,0.01217285453453,0.00608642726727,0,3,6,3,492.8999999942,30.375
176656651.60483003,0.03246094542541,16,0.00811523635635,0.0,0.01014404544544,0.01420166362362,0.00811523635635,0,5,7,4,492.8999999942,30.375
176657151.03019,0.03651856360359,18,0.00860750798776,0.0,0.02028809089088,0.00811523635635,0.00811523635635,0,10,4,4,492.8999999942,30.375
176657650.45555001,0.03854737269268,19,0.00884337379507,0.0,0.02028809089088,0.00811523635635,0.01014404544544,0,10,4,5,492.8999999942,30.375
176658149.88091004,0.03854737269268,19,0.00884337379507,0.0,0.01420166362362,0.01623047271271,0.00811523635635,0,7,8,4,492.8999999942,30.375
176658649.30627,0.04260499087086,21,0.00929717122136,0.0,0.02028809089088,0.01014404544544,0.01217285453453,0,10,5,6,492.8999999942,30.375
176659148.73163003,0.05883546358356,29,0.01092547130695,0.00202880908909,0.02231689997997,0.02434570906906,0.01014404544544,1,11,12,5,492.8999999942,30.375
176659648.15699,0.02840332724724,14,0.00759110851454,0.00202880908909,0.00811523635635,0.01014404544544,0.00811523635635,1,4,5,4,492.8999999942,30.375
176660147.58235002,0.05072022722721,25,0.01014404544544,0.00202880908909,0.0182592818018,0.02434570906906,0.00608642726727,1,9,12,3,492.8999999942,30.375
176660647.00771004,0.03651856360359,18,0.00860750798776,0.0,0.01420166362362,0.00811523635635,0.01420166362362,0,7,4,7,492.8999999942,30.375
176661146.43307,0.06492189085083,32,0.01147667731702,0.0,0.0182592818018,0.02637451815815,0.02028809089088,0,9,13,10,492.8999999942,30.375
176661645.85843003,0.03043213633633,15,0.00785754381467,0.0,0.01420166362362,0.00608642726727,0.01014404544544,0,7,3,5,492.8999999942,30.375
176662145.28379,0.04869141813812,24,0.00993909410757,0.0,0.02231689997997,0.01217285453453,0.01420166362362,0,11,6,7,492.8999999942,30.375
176662644.70915002,0.04666260904903,23,0.00972982658423,0.0,0.02840332724724,0.01420166362362,0.00405761817818,0,14,7,2,492.8999999942,30.375
176663144.13451004,0.04260499087086,21,0.00929717122136,0.0,0.02028809089088,0.01014404544544,0.01217285453453,0,10,5,6,492.8999999942,30.375
176663643.55987,0.01623047271271,8,0.00573833865851,0.0,0.00405761817818,0.00608642726727,0.00608642726727,0,2,3,3,492.8999999942,30.375
176664142.98523003,0.02434570906906,12,0.00702800084232,0.0,0.00811523635635,0.00811523635635,0.00811523635635,0,4,4,4,492.8999999942,30.375
176664642.41059,0.04463379995994,22,0.00951595812513,0.0,0.0182592818018,0.0182592818018,0.00811523635635,0,9,9,4,492.8999999942,30.375
176665141.83595002,0.03246094542541,16,0.00811523635635,0.0,0.01420166362362,0.00811523635635,0.01014404544544,0,7,4,5,492.8999999942,30.375
176665641.26130998,0.02028809089088,10,0.00641565765917,0.0,0.01217285453453,0.0,0.00811523635635,0,6,0,4,492.8999999942,30.375
