time,count_rate,counts,count_error,ultrasoft_count_rate,soft_count_rate,medium_count_rate,hard_count_rate,ultrasoft_counts,soft_counts,medium_counts,hard_counts,exposure,area
463601865.65421,0.06586413907413,14,0.01760293160644,0.0,0.02822748817463,0.01881832544975,0.01881832544975,0,6,4,4,212.5587640984,25.6875
463602365.07956994,0.04666260904625,23,0.00972982658365,0.0,0.01420166362277,0.0121728545338,0.02028809088967,0,7,6,10,492.9000000237,25.6875
463602864.50493,0.03246094542348,16,0.00811523635587,0.00202880908897,0.0060864272669,0.02028809088967,0.00405761817793,1,3,10,2,492.9000000237,25.6875
463603363.93029,0.05072022722418,25,0.01014404544484,0.0,0.02028809088967,0.02434570906761,0.0060864272669,0,10,12,3,492.9000000237,25.6875
463603863.35564995,0.05883546358005,29,0.0109254713063,0.0,0.01623047271174,0.01420166362277,0.02840332724554,0,8,7,14,492.9000000237,25.6875
463604362.78101003,0.07100831811386,35,0.01200259643501,0.0,0.01825928180071,0.03043213633451,0.02231689997864,0,9,15,11,492.9000000237,25.6875
463604862.20637,0.07506593629179,37,0.0123407639075,0.0,0.02434570906761,0.02231689997864,0.02840332724554,0,12,11,14,492.9000000237,25.6875
463605361.63172996,0.04260499086831,21,0.00929717122081,0.0,0.0121728545338,0.01420166362277,0.01623047271174,0,6,7,8,492.9000000237,25.6875
463605861.05709004,0.06289308175799,31,0.01129593094454,0.0,0.02028809088967,0.02637451815658,0.01623047271174,0,10,13,8,492.9000000237,25.6875
463606360.48245,0.05680665449109,28,0.01073544861407,0.0,0.02231689997864,0.02231689997864,0.0121728545338,0,11,11,6,492.9000000237,25.6875
463606859.90781,0.07506593629179,37,0.0123407639075,0.0,0.02231689997864,0.03448975451244,0.01825928180071,0,11,17,9,492.9000000237,25.6875
463607359.33316994,0.05274903631315,26,0.010344937134,0.0,0.01623047271174,0.01623047271174,0.02028809088967,0,8,8,10,492.9000000237,25.6875
463607858.75853,0.05680665449109,28,0.01073544861407,0.0,0.02434570906761,0.02028809088967,0.0121728545338,0,12,10,6,492.9000000237,25.6875
463608358.18389,0.03651856360141,18,0.00860750798725,0.0,0.01420166362277,0.01014404544484,0.0121728545338,0,7,5,6,492.9000000237,25.6875
463608857.60924995,0.06695069993592,33,0.01165462090944,0.0,0.0060864272669,0.03246094542348,0.02840332724554,0,3,16,14,492.9000000237,25.6875
463609357.03461003,0.07709474538076,38,0.01250641915738,0.0,0.01420166362277,0.01623047271174,0.04666260904625,0,7,8,23,492.9000000237,25.6875
463609856.45997,0.05072022722418,25,0.01014404544484,0.0,0.0121728545338,0.0121728545338,0.02637451815658,0,6,6,13,492.9000000237,25.6875
463610355.88532996,0.0994116453594,49,0.01420166362277,0.0,0.02637451815658,0.03448975451244,0.03854737269038,0,13,17,19,492.9000000237,25.6875
463610855.31069005,0.05477784540212,27,0.01054200126285,0.0,0.02028809088967,0.01623047271174,0.01825928180071,0,10,8,9,492.9000000237,25.6875
463611354.73605,0.02637451815658,13,0.0073149751984,0.0,0.00811523635587,0.01014404544484,0.00811523635587,0,4,5,4,492.9000000237,25.6875
463611854.16141,0.08926759991456,44,0.01345759703873,0.0,0.03043213633451,0.02840332724554,0.03043213633451,0,15,14,15,492.9000000237,25.6875
463612353.58676994,0.05477784540212,27,0.01054200126285,0.0,0.02028809088967,0.02028809088967,0.01420166362277,0,10,10,7,492.9000000237,25.6875
463612853.01213,0.05274903631315,26,0.010344937134,0.0,0.01623047271174,0.01623047271174,0.02028809088967,0,8,8,10,492.9000000237,25.6875
463613352.43749,0.05477784540212,27,0.01054200126285,0.0,0.02231689997864,0.0121728545338,0.02028809088967,0,11,6,10,492.9000000237,25.6875
463613851.86284995,0.06897950902489,34,0.01182988820159,0.0,0.02637451815658,0.01623047271174,0.02637451815658,0,13,8,13,492.9000000237,25.6875
463614351.28821003,0.04057618177935,20,0.0090731100726,0.0,0.01420166362277,0.01420166362277,0.0121728545338,0,7,7,6,492.9000000237,25.6875
463614850.71357,0.03448975451244,17,0.00836499416803,0.0,0.0121728545338,0.00811523635587,0.01420166362277,0,6,4,7,492.9000000237,25.6875
463615350.13892996,0.06695069993592,33,0.01165462090944,0.0,0.0121728545338,0.02231689997864,0.03246094542348,0,6,11,16,492.9000000237,25.6875
463615849.56429005,0.02840332724554,14,0.00759110851409,0.0,0.01014404544484,0.0121728545338,0.0060864272669,0,5,6,3,492.9000000237,25.6875
463616348.98965,0.07709474538076,38,0.01250641915738,0.0,0.01014404544484,0.03246094542348,0.03448975451244,0,5,16,17,492.9000000237,25.6875
463616848.41501,0.07912355446973,39,0.01266990869973,0.0,0.01420166362277,0.03651856360141,0.02840332724554,0,7,18,14,492.9000000237,25.6875
463617347.84036994,0.09535402718146,47,0.01390881436411,0.0,0.03854737269038,0.02434570906761,0.03246094542348,0,19,12,16,492.9000000237,25.6875
463617847.26573,0.05072022722418,25,0.01014404544484,0.0,0.02434570906761,0.00811523635587,0.01825928180071,0,12,4,9,492.9000000237,25.6875
463618346.69109,0.07709474538076,38,0.01250641915738,0.0,0.01623047271174,0.02840332724554,0.03246094542348,0,8,14,16,492.9000000237,25.6875
463618846.11644995,0.06086427266902,30,0.01111224502899,0.0,0.0121728545338,0.02231689997864,0.02637451815658,0,6,11,13,492.9000000237,25.6875
463619345.54181004,0.05680665449109,28,0.01073544861407,0.0,0.02028809088967,0.02434570906761,0.0121728545338,0,10,12,6,492.9000000237,25.6875
463619844.96717,0.06086427266902,30,0.01111224502899,0.0,0.01420166362277,0.01623047271174,0.03043213633451,0,7,8,15,492.9000000237,25.6875
463620344.39252996,0.07709474538076,38,0.01250641915738,0.0,0.03043213633451,0.03448975451244,0.0121728545338,0,15,17,6,492.9000000237,25.6875
463620843.81789005,0.06897950902489,34,0.01182988820159,0.0,0.02434570906761,0.02637451815658,0.01825928180071,0,12,13,9,492.9000000237,25.6875
463621343.24325,0.07100831811386,35,0.01200259643501,0.0,0.02028809088967,0.02637451815658,0.02434570906761,0,10,13,12,492.9000000237,25.6875
463621842.66861,0.07100831811386,35,0.01200259643501,0.0,0.01623047271174,0.02434570906761,0.03043213633451,0,8,12,15,492.9000000237,25.6875
463622342.09396994,0.07100831811386,35,0.01200259643501,0.0,0.01420166362277,0.02434570906761,0.03246094542348,0,7,12,16,492.9000000237,25.6875
463622841.51933,0.07506593629179,37,0.0123407639075,0.0,0.01420166362277,0.03043213633451,0.03043213633451,0,7,15,15,492.9000000237,25.6875
463623340.94469,0.07709474538076,38,0.01250641915738,0.0,0.02434570906761,0.02434570906761,0.02840332724554,0,12,12,14,492.9000000237,25.6875
463623840.37004995,0.02028809088967,10,0.00641565765879,0.0,0.0060864272669,0.00811523635587,0.0060864272669,0,3,4,3,492.9000000237,25.6875
463624339.79541004,0.05477784540212,27,0.01054200126285,0.0,0.01825928180071,0.01623047271174,0.02028809088967,0,9,8,10,492.9000000237,25.6875
463624839.22077,0.03854737269038,19,0.00884337379455,0.0,0.0121728545338,0.01014404544484,0.01623047271174,0,6,5,8,492.9000000237,25.6875
463625338.64612997,0.03651856360141,18,0.00860750798725,0.0,0.01420166362277,0.0060864272669,0.01623047271174,0,7,3,8,492.9000000237,25.6875
463625838.07148993,0.07303712720282,36,0.0121728545338,0.0,0.02434570906761,0.01825928180071,0.03043213633451,0,12,9,15,492.9000000237,25.6875
463626337.49685,0.04463379995728,22,0.00951595812457,0.0,0.0121728545338,0.02434570906761,0.00811523635587,0,6,12,4,492.9000000237,25.6875
463626836.92221,0.03043213633451,15,0.0078575438142,0.0,0.00405761817793,0.02028809088967,0.0060864272669,0,2,10,3,492.9000000237,25.6875
463627336.34756994,0.05477784540212,27,0.01054200126285,0.0,0.00405761817793,0.02028809088967,0.03043213633451,0,2,10,15,492.9000000237,25.6875
463627835.77293,0.04463379995728,22,0.00951595812457,0.0,0.00811523635587,0.01420166362277,0.02231689997864,0,4,7,11,492.9000000237,25.6875
463628335.19829,0.04869141813522,24,0.00993909410698,0.0,0.0121728545338,0.01825928180071,0.01825928180071,0,6,9,9,492.9000000237,25.6875
463628834.62364995,0.04869141813522,24,0.00993909410698,0.0,0.01623047271174,0.0121728545338,0.02028809088967,0,8,6,10,492.9000000237,25.6875
463629334.04901004,0.08115236355869,40,0.01283131531758,0.0,0.02840332724554,0.03246094542348,0.02028809088967,0,14,16,10,492.9000000237,25.6875
463629833.47437,0.01825928180071,9,0.0060864272669,0.0,0.0060864272669,0.00405761817793,0.00811523635587,0,3,2,4,492.9000000237,25.6875
463630332.89972997,0.07709474538076,38,0.01250641915738,0.0,0.02637451815658,0.01825928180071,0.03246094542348,0,13,9,16,492.9000000237,25.6875
463630832.32508993,0.06289308175799,31,0.01129593094454,0.0,0.01420166362277,0.02434570906761,0.02434570906761,0,7,12,12,492.9000000237,25.6875
463631331.75045,0.07100831811386,35,0.01200259643501,0.0,0.03448975451244,0.02231689997864,0.01420166362277,0,17,11,7,492.9000000237,25.6875
463631831.17581,0.05072022722418,25,0.01014404544484,0.0,0.01420166362277,0.01014404544484,0.02637451815658,0,7,5,13,492.9000000237,25.6875
463632330.60116994,0.04057618177935,20,0.0090731100726,0.0,0.0121728545338,0.0121728545338,0.01623047271174,0,6,6,8,492.9000000237,25.6875
463632830.02653,0.05477784540212,27,0.01054200126285,0.00202880908897,0.02028809088967,0.0121728545338,0.02028809088967,1,10,6,10,492.9000000237,25.6875
463633329.45189,0.05477784540212,27,0.01054200126285,0.0,0.02637451815658,0.0121728545338,0.01623047271174,0,13,6,8,492.9000000237,25.6875
463633828.87724996,0.07912355446973,39,0.01266990869973,0.0,0.02231689997864,0.01623047271174,0.04057618177935,0,11,8,20,492.9000000237,25.6875
463634328.30261004,0.08926759991456,44,0.01345759703873,0.0,0.02231689997864,0.03651856360141,0.03043213633451,0,11,18,15,492.9000000237,25.6875
463634827.72797,0.06086427266902,30,0.01111224502899,0.00202880908897,0.01825928180071,0.0121728545338,0.02840332724554,1,9,6,14,492.9000000237,25.6875
463635327.15332997,0.04260499086831,21,0.00929717122081,0.0,0.01014404544484,0.01825928180071,0.01420166362277,0,5,9,7,492.9000000237,25.6875
463635826.57868993,0.06492189084695,32,0.01147667731633,0.00202880908897,0.01623047271174,0.01420166362277,0.03246094542348,1,8,7,16,492.9000000237,25.6875
463636326.00405,0.06492189084695,32,0.01147667731633,0.0,0.02434570906761,0.01825928180071,0.02231689997864,0,12,9,11,492.9000000237,25.6875
463636825.42941,0.05883546358005,29,0.0109254713063,0.0,0.0121728545338,0.02840332724554,0.01825928180071,0,6,14,9,492.9000000237,25.6875
463637324.85476995,0.04869141813522,24,0.00993909410698,0.0,0.01825928180071,0.01623047271174,0.01420166362277,0,9,8,7,492.9000000237,25.6875
463637824.28013,0.06695069993592,33,0.01165462090944,0.0,0.03043213633451,0.02028809088967,0.01623047271174,0,15,10,8,492.9000000237,25.6875
463638323.70549,0.06492189084695,32,0.01147667731633,0.0,0.02434570906761,0.01623047271174,0.02434570906761,0,12,8,12,492.9000000237,25.6875
463638823.13084996,0.05072022722418,25,0.01014404544484,0.0,0.0121728545338,0.02231689997864,0.01623047271174,0,6,11,8,492.9000000237,25.6875
463639322.55621004,0.05072022722418,25,0.01014404544484,0.0,0.02637451815658,0.01420166362277,0.01014404544484,0,13,7,5,492.9000000237,25.6875
463639821.98157,0.06086427266902,30,0.01111224502899,0.0,0.00405761817793,0.03043213633451,0.02637451815658,0,2,15,13,492.9000000237,25.6875
463640321.40692997,0.04666260904625,23,0.00972982658365,0.0,0.01623047271174,0.01623047271174,0.01420166362277,0,8,8,7,492.9000000237,25.6875
463640820.83228993,0.04869141813522,24,0.00993909410698,0.0,0.01825928180071,0.01623047271174,0.01420166362277,0,9,8,7,492.9000000237,25.6875
463641320.25765,0.09535402718146,47,0.01390881436411,0.00202880908897,0.02840332724554,0.02840332724554,0.03651856360141,1,14,14,18,492.9000000237,25.6875
463641819.68301,0.05680665449109,28,0.01073544861407,0.0,0.0121728545338,0.02434570906761,0.02028809088967,0,6,12,10,492.9000000237,25.6875
463642319.10836995,0.04260499086831,21,0.00929717122081,0.0,0.0121728545338,0.0121728545338,0.01825928180071,0,6,6,9,492.9000000237,25.6875
463642818.53373003,0.03043213633451,15,0.0078575438142,0.0,0.00811523635587,0.01014404544484,0.0121728545338,0,4,5,6,492.9000000237,25.6875
463643317.95909,0.06492189084695,32,0.01147667731633,0.0,0.03448975451244,0.01014404544484,0.02028809088967,0,17,5,10,492.9000000237,25.6875
463643817.38444996,0.07100831811386,35,0.01200259643501,0.0,0.02434570906761,0.02637451815658,0.02028809088967,0,12,13,10,492.9000000237,25.6875
463644316.80981004,0.05274903631315,26,0.010344937134,0.0,0.02028809088967,0.01825928180071,0.01420166362277,0,10,9,7,492.9000000237,25.6875
463644816.23517,0.06897950902489,34,0.01182988820159,0.0,0.02840332724554,0.01825928180071,0.02231689997864,0,14,9,11,492.9000000237,25.6875
463645315.66053,0.05274903631315,26,0.010344937134,0.0,0.01623047271174,0.01420166362277,0.02231689997864,0,8,7,11,492.9000000237,25.6875
463645815.08588994,0.06897950902489,34,0.01182988820159,0.0,0.02231689997864,0.02231689997864,0.02434570906761,0,11,11,12,492.9000000237,25.6875
463646314.51125,0.07100831811386,35,0.01200259643501,0.0,0.02028809088967,0.02434570906761,0.02637451815658,0,10,12,13,492.9000000237,25.6875
463646813.93661,0.06897950902489,34,0.01182988820159,0.00202880908897,0.02028809088967,0.02231689997864,0.02434570906761,1,10,11,12,492.9000000237,25.6875
463647313.36196995,0.04666260904625,23,0.00972982658365,0.0,0.01825928180071,0.01825928180071,0.01014404544484,0,9,9,5,492.9000000237,25.6875
463647812.78733003,0.02840332724554,14,0.00759110851409,0.0,0.0060864272669,0.01014404544484,0.0121728545338,0,3,5,6,492.9000000237,25.6875
463648312.21269,0.07303712720282,36,0.0121728545338,0.0,0.03043213633451,0.01420166362277,0.02840332724554,0,15,7,14,492.9000000237,25.6875
463648811.63804996,0.06492189084695,32,0.01147667731633,0.0,0.01014404544484,0.03448975451244,0.02028809088967,0,5,17,10,492.9000000237,25.6875
463649311.06341004,0.05883546358005,29,0.0109254713063,0.0,0.01623047271174,0.02637451815658,0.01623047271174,0,8,13,8,492.9000000237,25.6875
463649810.48877,0.06492189084695,32,0.01147667731633,0.0,0.02434570906761,0.02434570906761,0.01623047271174,0,12,12,8,492.9000000237,25.6875
463650309.91413,0.05072022722418,25,0.01014404544484,0.00202880908897,0.0121728545338,0.01825928180071,0.01825928180071,1,6,9,9,492.9000000237,25.6875
463650809.33948994,0.04869141813522,24,0.00993909410698,0.0,0.01623047271174,0.02028809088967,0.0121728545338,0,8,10,6,492.9000000237,25.6875
463651308.76485,0.04869141813522,24,0.00993909410698,0.0,0.02231689997864,0.0060864272669,0.02028809088967,0,11,3,10,492.9000000237,25.6875
463651808.19021,0.08318117264766,41,0.01299071665069,0.00202880908897,0.02434570906761,0.03448975451244,0.02231689997864,1,12,17,11,492.9000000237,25.6875
463652307.61556995,0.07506593629179,37,0.0123407639075,0.0,0.02434570906761,0.02637451815658,0.02434570906761,0,12,13,12,492.9000000237,25.6875
463652807.04093003,0.04869141813522,24,0.00993909410698,0.0,0.02231689997864,0.0121728545338,0.01420166362277,0,11,6,7,492.9000000237,25.6875
463653306.46629,0.05883546358005,29,0.0109254713063,0.0,0.01623047271174,0.01623047271174,0.02637451815658,0,8,8,13,492.9000000237,25.6875
463653805.89164996,0.04260499086831,21,0.00929717122081,0.0,0.01825928180071,0.0121728545338,0.0121728545338,0,9,6,6,492.9000000237,25.6875
463654305.31701005,0.04666260904625,23,0.00972982658365,0.0,0.01623047271174,0.01014404544484,0.02028809088967,0,8,5,10,492.9000000237,25.6875
463654804.74237,0.05680665449109,28,0.01073544861407,0.0,0.01014404544484,0.02028809088967,0.02637451815658,0,5,10,13,492.9000000237,25.6875
463655304.16773,0.05072022722418,25,0.01014404544484,0.0,0.00811523635587,0.02434570906761,0.01825928180071,0,4,12,9,492.9000000237,25.6875
463655803.59308994,0.08115236355869,40,0.01283131531758,0.00202880908897,0.03246094542348,0.03043213633451,0.01623047271174,1,16,15,8,492.9000000237,25.6875
463656303.01845,0.05477784540212,27,0.01054200126285,0.0,0.0121728545338,0.02028809088967,0.02231689997864,0,6,10,11,492.9000000237,25.6875
463656802.44381,0.06695069993592,33,0.01165462090944,0.0,0.01420166362277,0.01825928180071,0.03448975451244,0,7,9,17,492.9000000237,25.6875
463657301.86916995,0.05883546358005,29,0.0109254713063,0.0,0.00811523635587,0.02840332724554,0.02231689997864,0,4,14,11,492.9000000237,25.6875
463657801.29453003,0.06086427266902,30,0.01111224502899,0.0,0.01825928180071,0.02028809088967,0.02231689997864,0,9,10,11,492.9000000237,25.6875
463658300.71989,0.06492189084695,32,0.01147667731633,0.0,0.02028809088967,0.02231689997864,0.02231689997864,0,10,11,11,492.9000000237,25.6875
463658800.14524996,0.04869141813522,24,0.00993909410698,0.0,0.01825928180071,0.02028809088967,0.01014404544484,0,9,10,5,492.9000000237,25.6875
463659299.57061005,0.07303712720282,36,0.0121728545338,0.0,0.02028809088967,0.02231689997864,0.03043213633451,0,10,11,15,492.9000000237,25.6875
463659798.99597,0.06289308175799,31,0.01129593094454,0.0,0.01825928180071,0.01825928180071,0.02637451815658,0,9,9,13,492.9000000237,25.6875
463660298.42133,0.05274903631315,26,0.010344937134,0.0,0.01623047271174,0.01623047271174,0.02028809088967,0,8,8,10,492.9000000237,25.6875
463660797.84668994,0.03854737269038,19,0.00884337379455,0.0,0.01825928180071,0.00811523635587,0.0121728545338,0,9,4,6,492.9000000237,25.6875
463661297.27205,0.07303712720282,36,0.0121728545338,0.0,0.01825928180071,0.02840332724554,0.02637451815658,0,9,14,13,492.9000000237,25.6875
463661796.69741,0.06492189084695,32,0.01147667731633,0.0,0.02434570906761,0.02231689997864,0.01825928180071,0,12,11,9,492.9000000237,25.6875
463662296.12276995,0.04463379995728,22,0.00951595812457,0.0,0.01014404544484,0.0121728545338,0.02231689997864,0,5,6,11,492.9000000237,25.6875
463662795.54813004,0.06695069993592,33,0.01165462090944,0.0,0.01825928180071,0.02028809088967,0.02840332724554,0,9,10,14,492.9000000237,25.6875
463663294.97349,0.06492189084695,32,0.01147667731633,0.0,0.01420166362277,0.03448975451244,0.01623047271174,0,7,17,8,492.9000000237,25.6875
463663794.39884996,0.04869141813522,24,0.00993909410698,0.0,0.02028809088967,0.0121728545338,0.01623047271174,0,10,6,8,492.9000000237,25.6875
463664293.82421005,0.06492189084695,32,0.01147667731633,0.0,0.02434570906761,0.02231689997864,0.01825928180071,0,12,11,9,492.9000000237,25.6875
463664793.24957,0.04869141813522,24,0.00993909410698,0.0,0.0121728545338,0.01623047271174,0.02028809088967,0,6,8,10,492.9000000237,25.6875
463665292.67493,0.05072022722418,25,0.01014404544484,0.0,0.00811523635587,0.01825928180071,0.02434570906761,0,4,9,12,492.9000000237,25.6875
463665792.10028994,0.07100831811386,35,0.01200259643501,0.0,0.01825928180071,0.03246094542348,0.02028809088967,0,9,16,10,492.9000000237,25.6875
463666291.52565,0.06289308175799,31,0.01129593094454,0.0,0.01825928180071,0.01420166362277,0.03043213633451,0,9,7,15,492.9000000237,25.6875
463666790.95101,0.05883546358005,29,0.0109254713063,0.0,0.0121728545338,0.02231689997864,0.02434570906761,0,6,11,12,492.9000000237,25.6875
463667290.37636995,0.07100831811386,35,0.01200259643501,0.0,0.03246094542348,0.01825928180071,0.02028809088967,0,16,9,10,492.9000000237,25.6875
463667789.80173004,0.06289308175799,31,0.01129593094454,0.0,0.01825928180071,0.02840332724554,0.01623047271174,0,9,14,8,492.9000000237,25.6875
463668289.22709,0.03854737269038,19,0.00884337379455,0.0,0.02028809088967,0.0060864272669,0.0121728545338,0,10,3,6,492.9000000237,25.6875
463668788.65244997,0.08115236355869,40,0.01283131531758,0.0,0.02637451815658,0.01825928180071,0.03651856360141,0,13,9,18,492.9000000237,25.6875
463669288.07780993,0.05680665449109,28,0.01073544861407,0.0,0.02434570906761,0.02028809088967,0.0121728545338,0,12,10,6,492.9000000237,25.6875
463669787.50317,0.05072022722418,25,0.01014404544484,0.0,0.02028809088967,0.01623047271174,0.01420166362277,0,10,8,7,492.9000000237,25.6875
463670286.92853,0.05477784540212,27,0.01054200126285,0.0,0.02231689997864,0.0121728545338,0.02028809088967,0,11,6,10,492.9000000237,25.6875
463670786.35388994,0.06695069993592,33,0.01165462090944,0.0,0.02637451815658,0.01825928180071,0.02231689997864,0,13,9,11,492.9000000237,25.6875
463671285.77925,0.07709474538076,38,0.01250641915738,0.0,0.02028809088967,0.02637451815658,0.03043213633451,0,10,13,15,492.9000000237,25.6875
463671785.20461,0.05274903631315,26,0.010344937134,0.0,0.01420166362277,0.01825928180071,0.02028809088967,0,7,9,10,492.9000000237,25.6875
463672284.62996995,0.05274903631315,26,0.010344937134,0.0,0.01014404544484,0.02028809088967,0.02231689997864,0,5,10,11,492.9000000237,25.6875
463672784.05533004,0.05883546358005,29,0.0109254713063,0.0,0.01623047271174,0.02028809088967,0.02231689997864,0,8,10,11,492.9000000237,25.6875
463673283.48069,0.04057618177935,20,0.0090731100726,0.0,0.01014404544484,0.01623047271174,0.01420166362277,0,5,8,7,492.9000000237,25.6875
463673782.90604997,0.05072022722418,25,0.01014404544484,0.0,0.01420166362277,0.02231689997864,0.01420166362277,0,7,11,7,492.9000000237,25.6875
463674282.33140993,0.04260499086831,21,0.00929717122081,0.0,0.0121728545338,0.0121728545338,0.01825928180071,0,6,6,9,492.9000000237,25.6875
463674781.75677,0.03651856360141,18,0.00860750798725,0.0,0.01420166362277,0.01014404544484,0.0121728545338,0,7,5,6,492.9000000237,25.6875
463675281.18213,0.06897950902489,34,0.01182988820159,0.0,0.02028809088967,0.02637451815658,0.02231689997864,0,10,13,11,492.9000000237,25.6875
463675780.60748994,0.05477784540212,27,0.01054200126285,0.0,0.02231689997864,0.01014404544484,0.02231689997864,0,11,5,11,492.9000000237,25.6875
463676280.03285,0.04869141813522,24,0.00993909410698,0.0,0.01014404544484,0.02028809088967,0.01825928180071,0,5,10,9,492.9000000237,25.6875
463676779.45821,0.05477784540212,27,0.01054200126285,0.0,0.01825928180071,0.02028809088967,0.01623047271174,0,9,10,8,492.9000000237,25.6875
463677278.88356996,0.05477784540212,27,0.01054200126285,0.0,0.02231689997864,0.01825928180071,0.01420166362277,0,11,9,7,492.9000000237,25.6875
463677778.30893004,0.04666260904625,23,0.00972982658365,0.0,0.01825928180071,0.02028809088967,0.00811523635587,0,9,10,4,492.9000000237,25.6875
463678277.73429,0.06086427266902,30,0.01111224502899,0.0,0.02840332724554,0.01014404544484,0.02231689997864,0,14,5,11,492.9000000237,25.6875
463678777.15964997,0.04260499086831,21,0.00929717122081,0.0,0.01014404544484,0.01623047271174,0.01623047271174,0,5,8,8,492.9000000237,25.6875
463679276.58500993,0.06695069993592,33,0.01165462090944,0.0,0.03854737269038,0.02028809088967,0.00811523635587,0,19,10,4,492.9000000237,25.6875
463679776.01037,0.04666260904625,23,0.00972982658365,0.0,0.01825928180071,0.01014404544484,0.01825928180071,0,9,5,9,492.9000000237,25.6875
463680275.43573,0.03651856360141,18,0.00860750798725,0.0,0.0121728545338,0.01420166362277,0.01014404544484,0,6,7,5,492.9000000237,25.6875
463680774.86108994,0.05477784540212,27,0.01054200126285,0.0,0.0121728545338,0.02028809088967,0.02231689997864,0,6,10,11,492.9000000237,25.6875
463681274.28645,0.06695069993592,33,0.01165462090944,0.0,0.02028809088967,0.02028809088967,0.02637451815658,0,10,10,13,492.9000000237,25.6875
